index,question,user_prompt,valid_options,answer,groundtruth,image_path,source
985,The image represents a standard English keyboard. Decipher the password it represents based on the colors.,"Question: The image represents a standard English keyboard. Decipher the password it represents based on the colors.
Options: A. arsenal  B. barcelona  C. arssnaa  D. rangers","{'A': 'arsenal', 'B': 'barcelona', 'C': 'arssnaa', 'D': 'rangers'}",A,arsenal,CharmBench/Data/Images/985.jpg,https://www.33iq.com/question/985.html
10828,Decipher the characters represented in the image.,"Question: Decipher the characters represented in the image.
Options: A. ADOPRSSW  B. ROMANTIC  C. PEACEFUL  D. ANWORLD","{'A': 'ADOPRSSW', 'B': 'ROMANTIC', 'C': 'PEACEFUL', 'D': 'ANWORLD'}",A,ADOPRSSW,CharmBench/Data/Images/10828.jpg,https://www.33iq.com/question/10828.html
40927,Solve the numeric code based on the image (The answer is a pure number).,"Question: Solve the numeric code based on the image (The answer is a pure number).
Options: A. 314  B. 433  C. 519  D. 567","{'A': '314', 'B': '433', 'C': '519', 'D': '567'}",C,519,CharmBench/Data/Images/40927.jpg,https://www.33iq.com/question/40927.html
53404,There was a car accident. A person was hit at the intersection. Someone nearby drew the following picture. Which vehicle is most likely the one responsible for the accident?,"Question: There was a car accident. A person was hit at the intersection. Someone nearby drew the following picture. Which vehicle is most likely the one responsible for the accident?
Options: A. Car A  B. Bus B  C. Bus C  D. Car D","{'A': 'Car A', 'B': 'Bus B', 'C': 'Bus C', 'D': 'Car D'}",C,Bus C,CharmBench/Data/Images/53404.jpg,https://www.33iq.com/question/53404.html
56803,"The image shows a simple two-layer cipher, one of which is the pigpen cipher. Please decrypt it. The answer should be in uppercase English letters, with no spaces.","Question: The image shows a simple two-layer cipher, one of which is the pigpen cipher. Please decrypt it. The answer should be in uppercase English letters, with no spaces.
Options: A. THANKYOU  B. THINKYOU  C. CATCHYOU  D. HURTYOU","{'A': 'THANKYOU', 'B': 'THINKYOU', 'C': 'CATCHYOU', 'D': 'HURTYOU'}",A,THANKYOU,CharmBench/Data/Images/56803.jpg,https://www.33iq.com/question/56803.html
58129,"The mathematician living in Room 310 suddenly disappeared. Strange symbols were found inside the room. Detectives Michael and Derek noticed that they resembled the letter “n,” with a short horizontal line above it. Toru Amuro felt something was off about the character, but couldn’t immediately figure out what. Eventually, through investigation, several suspects came into focus. Who is most closely connected to his disappearance?","Question: The mathematician living in Room 310 suddenly disappeared. Strange symbols were found inside the room. Detectives Michael and Derek noticed that they resembled the letter “n,” with a short horizontal line above it. Toru Amuro felt something was off about the character, but couldn’t immediately figure out what. Eventually, through investigation, several suspects came into focus. Who is most closely connected to his disappearance?
Options: A. Suspect A  B. Suspect B  C. Suspect C  D. Suspect D","{'A': 'Suspect A', 'B': 'Suspect B', 'C': 'Suspect C', 'D': 'Suspect D'}",D,Suspect D,CharmBench/Data/Images/58129.jpg,https://www.33iq.com/question/58129.html
60242,"At the request of Officer Love, Agent Lin began tracking down Litt — a seasoned fugitive and master of disguise. Officer Love had only one photo of Litt in disguise, which made the task even more difficult. The next day, Lin gathered several photos of individuals who might be Litt in disguise. The leftmost photo was the one provided by Love, showing Litt in disguise; the remaining four were potential disguises. Lin carefully studied the photos, comparing each one to the image supplied by Love. So, which person in the photos will Lin pursue? Please note that this person's disguise may make this person appear to be a different gender.","Question: At the request of Officer Love, Agent Lin began tracking down Litt — a seasoned fugitive and master of disguise. Officer Love had only one photo of Litt in disguise, which made the task even more difficult. The next day, Lin gathered several photos of individuals who might be Litt in disguise. The leftmost photo was the one provided by Love, showing Litt in disguise; the remaining four were potential disguises. Lin carefully studied the photos, comparing each one to the image supplied by Love. So, which person in the photos will Lin pursue? Please note that this person's disguise may make this person appear to be a different gender.
Options: A. A  B. B  C. C  D. D","{'A': 'A', 'B': 'B', 'C': 'C', 'D': 'D'}",A,A,CharmBench/Data/Images/60242.jpg,https://www.33iq.com/question/60242.html
61664,"A German businessman has mysteriously gone missing from his hotel room. A detective rushed to the scene immediately after receiving the report. He left behind the information shown in the image. At this point, the police brought in three suspects, none of whom had an alibi. Suspect 1: Matone Woger, unemployed. He said: What does it have to do with me? I just went in to use the bathroom. I left in five minutes. I don't even know the guy. Suspect 2: Shezin Wikina, insurance salesperson. She said: I once tried to recommend our company's insurance to him, but he had a terrible temper and slammed the door in my face. With that kind of attitude, I'm sure he had plenty of enemies. Suspect 3: Ruy Deldre, 37-year-old German, employee at Volkswagen Group. Crying, he said: We were good friends. He would often buy car parts from us, like tires and wrenches. He was a good person. I can't believe he's gone... sigh. Who is the most suspicious?","Question: A German businessman has mysteriously gone missing from his hotel room. A detective rushed to the scene immediately after receiving the report. He left behind the information shown in the image. At this point, the police brought in three suspects, none of whom had an alibi. Suspect 1: Matone Woger, unemployed. He said: What does it have to do with me? I just went in to use the bathroom. I left in five minutes. I don't even know the guy. Suspect 2: Shezin Wikina, insurance salesperson. She said: I once tried to recommend our company's insurance to him, but he had a terrible temper and slammed the door in my face. With that kind of attitude, I'm sure he had plenty of enemies. Suspect 3: Ruy Deldre, 37-year-old German, employee at Volkswagen Group. Crying, he said: We were good friends. He would often buy car parts from us, like tires and wrenches. He was a good person. I can't believe he's gone... sigh. Who is the most suspicious?
Options: A. Matone Woger  B. Shezin Wikina  C. Ruy Deldre  D. Nobody","{'A': 'Matone Woger', 'B': 'Shezin Wikina', 'C': 'Ruy Deldre', 'D': 'Nobody'}",C,Ruy Deldre,CharmBench/Data/Images/61664.jpg,https://www.33iq.com/question/61664.html
61895,"Xiao An wakes up and finds himself in a secret room with only a piece of paper and a door with a password lock. 'It seems that I need to crack the password to get out,' Xiao An thought to himself. After observing for a while, he inputs the password and escapes the secret room. What is the password?","Question: Xiao An wakes up and finds himself in a secret room with only a piece of paper and a door with a password lock. 'It seems that I need to crack the password to get out,' Xiao An thought to himself. After observing for a while, he inputs the password and escapes the secret room. What is the password?
Options: A. 107316308  B. 113706380  C. 1137080  D. 1801370","{'A': '107316308', 'B': '113706380', 'C': '1137080', 'D': '1801370'}",D,1801370,CharmBench/Data/Images/61895.jpg,https://www.33iq.com/question/61895.html
62271,"A historic mansion's silence is broken by a woman wearing a fur coat. The owner, Vossler, opens the door. After talking for a few minutes, they enter the mansion. Vossler, donning his detective attire, says meaningfully. The woman slowly says: My son has gone missing, I suspect he was kidnapped. So, I wanted to ask for your help, Mr. Vossler, to find my son. Don't worry, money is not an issue.' As she finishes, the woman pulls out a stack of cash from her purse and places it on the coffee table. Vossler says, 'Of course, madam. Here is the price list,' and hands her a piece of paper. The woman looks and says, 'Mr. Detective, this is...' Vossler replies, 'This is the amount you need to pay for my help. The total of the numbers represented by the four figures is what you owe me.' The woman, who studied mathematics, quickly solves it and then takes out another stack of money, placing it on the table. Vossler, with a look of admiration, says after a long while, 'Madam, I did not expect you to be so clever. Since you solved the problem so quickly, I'll charge you half price.' Saying this, he returns a large amount of money to her. How much the lady should pay to Vossler?""","Question: A historic mansion's silence is broken by a woman wearing a fur coat. The owner, Vossler, opens the door. After talking for a few minutes, they enter the mansion. Vossler, donning his detective attire, says meaningfully. The woman slowly says: My son has gone missing, I suspect he was kidnapped. So, I wanted to ask for your help, Mr. Vossler, to find my son. Don't worry, money is not an issue.' As she finishes, the woman pulls out a stack of cash from her purse and places it on the coffee table. Vossler says, 'Of course, madam. Here is the price list,' and hands her a piece of paper. The woman looks and says, 'Mr. Detective, this is...' Vossler replies, 'This is the amount you need to pay for my help. The total of the numbers represented by the four figures is what you owe me.' The woman, who studied mathematics, quickly solves it and then takes out another stack of money, placing it on the table. Vossler, with a look of admiration, says after a long while, 'Madam, I did not expect you to be so clever. Since you solved the problem so quickly, I'll charge you half price.' Saying this, he returns a large amount of money to her. How much the lady should pay to Vossler?""
Options: A. 19000  B. 15000  C. 18000  D. 16000","{'A': '19000', 'B': '15000', 'C': '18000', 'D': '16000'}",D,16000,CharmBench/Data/Images/62271.jpg,https://www.33iq.com/question/62271.html
